Dirs,mass_b_0,semi_b_0,ecc_b_0,bMerge_eqtide,bMerge_eqstell
./final_data/runs_eqstell/06813,5.97309848243,0.0594507264484,0.109284105617,0.0,-1.0
./final_data/runs_eqstell/04446,5.97455833311,0.100279786774,0.715529787,0.0,-1.0
./final_data/runs_eqstell/19359,10.4064023573,0.0467747888381,0.555039303587,0.0,1.0
./final_data/runs_eqstell/02564,1.59529854357,0.038560148021,0.292346088345,0.0,-1.0
./final_data/runs_eqstell/03792,10.731559066,0.0285961309943,0.159751318725,0.0,-1.0
./final_data/runs_eqstell/05163,10.8927584806,0.0616394324184,0.264034445198,0.0,-1.0
./final_data/runs_eqstell/11278,0.181983162509,0.117632795476,0.411368121792,0.0,-1.0
./final_data/runs_eqstell/14260,4.09787103396,0.0877567456055,0.0201676942628,0.0,-1.0
./final_data/runs_eqstell/22210,1.67217473411,0.0494505231984,0.359471647852,0.0,-1.0
./final_data/runs_eqstell/21369,2.45166717902,0.0704916685105,0.00371769254202,0.0,-1.0
./final_data/runs_eqstell/08159,9.73439084495,0.102100343056,0.430507832413,0.0,-1.0
./final_data/runs_eqstell/23450,3.20186393829,0.0588743285987,0.239870969797,0.0,-1.0
./final_data/runs_eqstell/10128,2.35705453232,0.0644418172077,0.0831444901131,0.0,-1.0
./final_data/runs_eqstell/11877,0.885878268574,0.104859456615,0.413383375767,0.0,-1.0
./final_data/runs_eqstell/04713,9.04264145111,0.0372075569492,0.313599743896,0.0,-1.0
./final_data/runs_eqstell/08728,10.0662205537,0.130048962518,0.146212720897,0.0,-1.0
./final_data/runs_eqstell/13645,0.375457640558,0.0947966248797,0.110919847764,0.0,-1.0
./final_data/runs_eqstell/05743,4.99409317459,0.0754091596639,0.311819187979,0.0,-1.0
./final_data/runs_eqstell/00872,11.2567863751,0.0830542270451,0.0722085541407,0.0,-1.0
./final_data/runs_eqstell/14267,11.4959340555,0.0793657020346,0.269319275206,0.0,-1.0
./final_data/runs_eqstell/22317,3.20633848578,0.0696894455501,0.251489208717,0.0,-1.0
./final_data/runs_eqstell/10112,10.8134334357,0.0855421983811,0.286272664474,0.0,-1.0
./final_data/runs_eqstell/10127,3.83269744659,0.10236482643,0.0375277410934,0.0,-1.0
