Dirs,mass_b_0,mass_c_0,semi_b_0,semi_c_0,ecc_b_0,ecc_c_0,strength,bMerge_eqtide,bMerge_eqorb
./final_data/runs_eqorb/04533,11.0919997417,1.89771588674,0.100904847456,0.250904847456,0.0955101796221,0.381799549831,1.3802881601596177,0.0,0.0
./final_data/runs_eqorb/03110,10.2124915183,5.91326289192,0.0237191743493,0.0637191743493,0.31208738761,0.0239622189827,2.142084925795359,0.0,0.0
./final_data/runs_eqorb/14872,3.30634824596,10.6404670343,0.137520201683,0.477520201683,0.210767104608,0.425756361561,8.025317686546398,0.0,0.0
./final_data/runs_eqorb/05756,1.50837324588,1.27180873544,0.0348258500388,0.164825850039,0.836362889547,0.122481643501,2.521863087378783,0.0,0.0
./final_data/runs_eqorb/04073,9.32519322013,6.90037958477,0.0736000298617,0.173600029862,0.0290426616488,0.272957404283,5.514218784762265,0.0,0.0
./final_data/runs_eqorb/12926,11.642355063,6.9122203085,0.108043398821,0.308043398821,0.247166960535,0.411333650708,4.795859316073331,0.0,0.0
./final_data/runs_eqorb/20622,11.4865099023,2.04783458757,0.0398546916383,0.129854691638,0.188655372721,0.466657348491,11.407009416849148,0.0,0.0
./final_data/runs_eqorb/08069,9.37352594624,3.36104738135,0.145636664137,0.645636664137,0.0452386358611,0.685260834398,8.111473484393057,0.0,0.0
./final_data/runs_eqorb/24372,2.73604533581,3.03394199352,0.014824136035,0.034824136035,0.128813909987,0.0782811360806,5.73828162869075,1.0,1.0
./final_data/runs_eqorb/22427,6.82046320205,1.49589704965,0.0476096142627,0.0976096142627,0.118877451774,0.0702157709971,0.40664135899216364,0.0,0.0
./final_data/runs_eqorb/03039,1.50845945752,2.98597847996,0.0304082692954,0.0604082692954,0.186358472386,0.163122928293,2.7370104136254207,0.0,0.0
./final_data/runs_eqorb/13710,4.53773207395,1.55963128275,0.0936120486873,0.703612048687,0.685129619644,0.527866272335,10.832419697414174,0.0,0.0
./final_data/runs_eqorb/03569,11.225811861,10.8838870836,0.126893631578,0.276893631578,0.104225727659,0.149234319688,1.3241342044505988,0.0,0.0
./final_data/runs_eqorb/07986,4.20311369931,7.23833192506,0.0964269080646,0.206426908065,0.115433243088,0.21662597524,2.104967142665122,0.0,0.0
./final_data/runs_eqorb/02977,6.57097842201,9.67528561542,0.0361344426488,0.0761344426488,0.0762780353778,0.198686945191,9.767230243764843,0.0,0.0
./final_data/runs_eqorb/19961,10.0013076185,3.47287714637,0.113991128528,0.223991128528,0.117075722127,0.0728890208926,0.20101978896776612,0.0,0.0
./final_data/runs_eqorb/09530,1.2253731903,11.8724998035,0.103931221596,0.203931221596,0.10130952271,0.0202310306961,0.2324486363131175,0.0,0.0
./final_data/runs_eqorb/23876,9.61505125924,10.8240251005,0.0934442756554,0.193444275655,0.140362303012,0.0327880374569,0.48262993013396616,0.0,0.0
./final_data/runs_eqorb/17624,3.16287686434,0.753227493741,0.017356414364,0.137356414364,0.656924093428,0.28619926236,42.70160591123788,0.0,0.0
./final_data/runs_eqorb/13964,8.26780299113,2.67365832837,0.0422014276607,0.232201427661,0.645300691009,0.111623700638,8.443626432594092,0.0,0.0
./final_data/runs_eqorb/12898,6.83735779313,8.97395371793,0.128320896179,0.418320896179,0.652668851905,0.0772722045996,1.3005322474438101,0.0,0.0
./final_data/runs_eqorb/10133,4.39242688306,6.0695931882,0.0655346138478,0.135534613848,0.277358865466,0.0979753423276,1.3523248716107437,0.0,0.0
./final_data/runs_eqorb/09593,2.47509941578,2.29402816416,0.0236047262003,0.0636047262003,0.530668315587,0.0813655130642,2.730465929485087,0.0,0.0
./final_data/runs_eqorb/20611,10.1806852725,3.42190355231,0.147273024249,0.337273024249,0.148178625671,0.272352651224,0.6732777891187183,0.0,0.0
./final_data/runs_eqorb/10091,0.0131889287131,2.22237192229,0.0635509324255,0.143550932426,0.139283090999,0.0322940098179,0.181141757750332,0.0,0.0
./final_data/runs_eqorb/13280,3.06439152949,9.74670507075,0.127211443565,0.517211443565,0.227395327408,0.489468118281,13.474181772103742,0.0,0.0
./final_data/runs_eqorb/06755,10.8086633196,5.09625256919,0.0698411903299,0.15984119033,0.269027353112,0.138806679615,1.8812214659006457,0.0,0.0
./final_data/runs_eqorb/06372,10.6352755371,5.39915521016,0.137789666922,0.327789666922,0.262320320709,0.214942009518,1.010176638682688,0.0,0.0
./final_data/runs_eqorb/17924,10.280815102,1.71955470098,0.122365522434,0.252365522434,0.122439760776,0.0711132367633,0.10635435448940805,0.0,0.0
./final_data/runs_eqorb/22576,1.98582741591,10.3787733287,0.120930299871,0.240930299871,0.0273152515935,0.0906277605245,0.7878991758745835,0.0,0.0
./final_data/runs_eqorb/23321,1.80229015371,3.30733259603,0.148302091863,0.228302091863,0.0528054939661,0.0630362080859,0.06733882974030675,0.0,0.0
./final_data/runs_eqorb/08516,11.4422005603,6.0081674959,0.0282100320536,0.0682100320536,0.335764325746,0.155057557437,8.999006905027427,0.0,0.0
./final_data/runs_eqorb/14459,2.74225773029,6.36001086417,0.139898462343,0.259898462343,0.0481884367325,0.192643761965,0.6803091326227513,0.0,0.0
./final_data/runs_eqorb/12053,1.60587431841,1.97954887867,0.0432088264827,0.113208826483,0.24092387228,0.323736519635,3.972530198400174,0.0,0.0
./final_data/runs_eqorb/10190,2.07310266401,5.20169308241,0.0533834584103,0.13338345841,0.5310558503,0.138527091061,2.4393982083296617,0.0,0.0
./final_data/runs_eqorb/12923,10.8780612364,0.419107018379,0.115311775047,0.835311775047,0.283334895312,0.137298514794,0.6729952214243082,0.0,0.0
